ICN,Incident_Date,Date_Stamp,Subject,Country,ISO-3166-2,City,Geocode,Geocode_Anchor,Incident_Group_Type,Summary,Related_Term,Incident_Victims_Dead,Incident_Victims_Hostaged,Incident_Victims_Wounded,Incident_Included_Victims,Weapon,Event_Type,Geocode_Has_Value,Province_State,Assassination,IED,Incident_Day,Incident_Month,Month_Number,Incident_Year
201011951,1-Jul-10,2010-07-01,"1 bridge damaged in IED attack in Herat, Herat, Afghanistan",Afghanistan,AF,Herat,"34.363201,62.184971","Herat, Herat, Afghanistan,",Islamic Extremist (Sunni),"On 1 July 2010, in Herat, Herat, Afghanistan, assailants detonated an improvised explosive device (IED) targeting a bridge, damaging the bridge but causing no injuries.  No group claimed responsibility.","Afghanistan, bridge, Herat, July, targeting",0,0,0,No,"Explosive, IED",Bombing,Yes,Herat,No,Yes,1,Jul,7,2010
201014823,26-Sep-10,2010-09-26,"2 civilians killed in armed attack in Lowgar, Afghanistan",Afghanistan,AF,None,"34.019299,69.021111","Lowgar, Afghanistan,",Islamic Extremist (Sunni),"On 26 September 2010, in Lowgar, Afghanistan, assailants fired upon and killed two civilians.  No group claimed responsibility.","Afghanistan, Lowgar, September",2,0,0,Yes,Firearm,Armed Attack,Yes,Lowgar,No,No,26,Sep,9,2010
201013905,10-Sep-10,2010-09-10,"3 political party workers kidnapped in Baraki Barak, Lowgar, Afghanistan",Afghanistan,AF,Baraki Barak,"33.967499,68.948608","Baraki Barak, Lowgar, Afghanistan,",Islamic Extremist (Sunni),"On 10 September 2010, in Baraki Barak, Lowgar, Afghanistan, armed assailants kidnapped three staff members of a parliamentary candidate.  No group claimed responsibility.","Baraki Barak, candidate, Lowgar, parliamentary candidate, staff, staff members",0,3,0,Yes,Firearm,Kidnapping,Yes,Lowgar,No,No,10,Sep,9,2010
201006361,14-Feb-10,2010-02-14,"2 police officers killed, 2 others wounded in IED attack by suspected Taliban in Dwahmande, Khowst, Afghanistan",Afghanistan,AF,Dwahmande,"33.281666,69.584999","Dwahmande, Khowst, Afghanistan,",Islamic Extremist (Sunni),"On 14 February 2010, in Dwahmande, Khowst, Afghanistan, assailants detonated an improvised explosive device (IED) targeting a police vehicle, killing two police officers, wounding two others, and damaging the vehicle.  No group claimed responsibility, although it was widely believed the Taliban was responsible.","Dwahmande, February, Khowst, police, police vehicle, Taliban, targeting, vehicle",2,0,2,Yes,"Explosive, IED",Bombing,Yes,Khowst,No,Yes,14,Feb,2,2010
201012487,28-Jul-10,2010-07-28,"1 teacher killed in armed attack in Kaldar, Balkh, Afghanistan",Afghanistan,AF,Kaldar,"37.166668,67.774170","Kaldar, Balkh, Afghanistan,",Islamic Extremist (Sunni),"Before 28 July 2010, in Kaldar, Balkh, Afghanistan, armed assailants fired on and killed a teacher in her home.  No group claimed responsibility.","Balkh, home, Kaldar, teacher",1,0,0,Yes,Firearm,Armed Attack,Yes,Balkh,No,No,28,Jul,7,2010
201011484,5-Jul-10,2010-07-05,"2 police officers, 1 government employee wounded in armed attack by Taliban in Baraki Barak, Lowgar, Afghanistan",Afghanistan,AF,Baraki Barak,"33.967499,68.948608","Baraki Barak, Lowgar, Afghanistan,",Islamic Extremist (Sunni),"On 5 July 2010, in Baraki Barak, Lowgar, Afghanistan, assailants fired small arms and rocket-propelled grenades (RPG) at the district chief's motorcade, wounding two police officers and one intelligence officer and damaging one police vehicle.  The Taliban claimed responsibility.","Baraki Barak, chief, district chief, intelligence, intelligence officer, Lowgar, motorcade, propelled grenades, s motorcade, small arms",0,0,3,Yes,"Firearm, RPG",Armed Attack,Yes,Lowgar,No,No,5,Jul,7,2010
201014974,22-Sep-10,2010-09-22,"Police post targeted in armed attack in Lashkar Gah, Helmand, Afghanistan",Afghanistan,AF,Lashkar Gah,"31.508888,64.363335","Bust, Helmand, Afghanistan,",Islamic Extremist (Sunni),"On or about 22 September 2010, in Lashkar Gah, Helmand, Afghanistan, armed assailants fired on a police post but caused no reported injuries or damage.  No group claimed responsibility.","Helmand, Lashkar Gah, police post, post, September",0,0,0,No,Firearm,Armed Attack,Yes,Helmand,No,No,22,Sep,9,2010
201013706,28-Aug-10,2010-08-28,"Several police officers injured in armed attack in Shinwari, Parvan, Afghanistan",Afghanistan,AF,Shinwari,"35.000000,68.916672","Parvan, Afghanistan,",Islamic Extremist (Sunni),"On 28 August 2010, in Shinwari, Parvan, Afghanistan, assailants fired rockets, mortars, and/or artillery at the district headquarters, injuring several police officers and damaging the building.  No group claimed responsibility.","artillery, building, district headquarters, headquarters, mortar, Parvan, rockets, Shinwari",0,0,3,Yes,"Missile/Rocket, Mortar/Artillery",Armed Attack,Yes,Parvan,No,No,28,Aug,8,2010
201008182,18-Apr-10,2010-04-18,"Police checkpoint targeted in Qorghan, Faryab, Afghanistan",Afghanistan,AF,Qorghan,"36.915833,65.076386","Qorghan, Faryab, Afghanistan,",Islamic Extremist (Sunni),"On 18 April 2010, in Jungle, Qorghan, Faryab, Afghanistan, assailants attacked a police checkpoint by unknown means but caused no injuries or damage.  No group claimed responsibility.","checkpoint, Faryab, jungle, means, police checkpoint, Qorghan, unknown means",0,0,0,No,Unknown,Unknown,Yes,Faryab,No,No,18,Apr,4,2010
201010760,7-Jun-10,2010-06-07,"Police posts targeted in rocket attacks in Andar, Ghazni, Afghanistan",Afghanistan,AF,Andar,"33.125279,67.982498","Andar, Ghazni, Afghanistan,",Islamic Extremist (Sunni),"On or about 7 June 2010, in Andar, Ghazni, Afghanistan, assailants fired rockets at police posts on five different occasions, causing no reported injuries or damage.  No group claimed responsibility.","Andar, Ghazni, occasions, police post, post, rockets",0,0,0,Yes,Missile/Rocket,Armed Attack,Yes,Ghazni,No,No,7,Jun,6,2010
