ICN,Event_Type_List
200911677,Bombing
200911691,Bombing
200911467,Bombing
200911358,Bombing
200911336,Bombing
200911391,Bombing
200911532,Bombing
200912053,Bombing
200911434,Armed Attack
200911392,Armed Attack
200911611,Kidnapping
200911923,Armed Attack
200912057,Armed Attack
200912057, Theft
200912066,Arson/Firebombing
200912097,Armed Attack
200911637,Arson/Firebombing
200911983,Armed Attack
200912125,Bombing
200912162,Armed Attack
200911566,Assault
200911565,Assault
200911733,Unknown
200911680,Unknown
200912156,Kidnapping
200911920,Bombing
200911679,Armed Attack
200911679, Near Miss/Non Attack Incident
200911681,Bombing
200911724,Bombing
200911682,Bombing
200911684,Bombing
200911416,Bombing
200911439,Bombing
200911360,Bombing
200911393,Bombing
200911395,Bombing
200911395, Suicide
200911418,Bombing
200911506,Bombing
200911394,Bombing
200911413,Bombing
200911412,Bombing
200912091,Bombing
200911595,Bombing
200911643,Bombing
200911596,Bombing
200912124,Bombing
200911692,Kidnapping
200912059,Armed Attack
200912059, Kidnapping
200911404,Armed Attack
200911420,Armed Attack
200911419,Armed Attack
200912120,Armed Attack
200911619,Kidnapping
200912127,Armed Attack
200911276,Armed Attack
200911276, Assassination
200911276, Assault
200911276, Kidnapping
200911688,Armed Attack
200912099,Bombing
200912101,Armed Attack
200912384,Kidnapping
200911273,Unknown
200911274,Unknown
200912160,Kidnapping
200911837,Bombing
200911840,Bombing
200911715,Armed Attack
200911715, Bombing
200911690,Bombing
200911662,Bombing
200911663,Bombing
200911509,Bombing
200911511,Bombing
200911503,Bombing
200911505,Bombing
200911665,Bombing
200911602,Bombing
200911602, Suicide
200911925,Bombing
200912131,Bombing
200912351,Kidnapping
200912357,Kidnapping
200912357, Theft
200912367,Armed Attack
200911774,Armed Attack
200911650,Armed Attack
200911621,Armed Attack
200911621, Kidnapping
200911623,Kidnapping
200912136,Armed Attack
200912128,Armed Attack
200912106,Armed Attack
200912355,Armed Attack
200911606,Armed Attack
200911604,Armed Attack
200911753,Armed Attack
200912383,Armed Attack
200912369,Assault
200912363,Unknown
200912371,Unknown
200912368,Unknown
200912380,Kidnapping
200912364,Unknown
200912373,Kidnapping
200912377,Unknown
200912366,Unknown
200912376,Unknown
200912353,Hijacking
200912362,Unknown
200912379,Unknown
200912354,Hijacking
200912361,Unknown
200912365,Unknown
200912274,Unknown
200912069,Kidnapping
200912069, Unknown
200912164,Kidnapping
200911747,Bombing
200912347,Bombing
200911702,Bombing
200911694,Bombing
200911730,Bombing
200912381,Bombing
200911340,Bombing
200912079,Bombing
200911697,Bombing
200911586,Bombing
200911638,Bombing
200911612,Bombing
200911640,Bombing
200911639,Bombing
200911583,Bombing
200911615,Bombing
200911636,Bombing
200911573,Bombing
200911517,Bombing
200911666,Bombing
200911614,Bombing
200911607,Bombing
200911794,Armed Attack
200911761,Armed Attack
200911762,Armed Attack
200911587,Armed Attack
200911575,Armed Attack
200911704,Armed Attack
200912137,Armed Attack
200911732,Arson/Firebombing
200911703,Bombing
200911514,Bombing
200911632,Bombing
200912360,Armed Attack
200911585,Armed Attack
200912358,Hijacking
200911934,Bombing
200911648,Bombing
200911648, Suicide
200911707,Bombing
200911706,Bombing
200911708,Bombing
200912078,Bombing
200912078, Near Miss/Non Attack Incident
200911832,Bombing
200911820,Bombing
200911814,Bombing
200911718,Bombing
200911789,Bombing
200911790,Bombing
200911720,Bombing
200911617,Bombing
200911617, Suicide
200911629,Bombing
200911618,Bombing
200911618, Suicide
200911631,Bombing
200911770,Bombing
200912168,Armed Attack
200912168, Kidnapping
200911816,Armed Attack
200911764,Armed Attack
200911781,Armed Attack
200911833,Armed Attack
200911834,Armed Attack
200911628,Armed Attack
200911620,Armed Attack
200911555,Armed Attack
200911548,Armed Attack
200911550,Armed Attack
200911550, Arson/Firebombing
200911550, Assault
200912110,Armed Attack
200912157,Arson/Firebombing
200911862,Bombing
200912138,Bombing
200911622,Bombing
200911727,Armed Attack
200911772,Assault
200911634,Assault
200911634, Kidnapping
200911785,Assault
200912172,Assault
200912172, Kidnapping
200912098,Kidnapping
200911799,Bombing
200911798,Bombing
200911795,Bombing
200911847,Bombing
200911817,Bombing
200911906,Bombing
200911812,Bombing
200912100,Bombing
200912100, Threat
200911709,Armed Attack
200911854,Armed Attack
200911854, Kidnapping
200911796,Armed Attack
200911907,Armed Attack
200911907, Kidnapping
200911784,Arson/Firebombing
200911786,Armed Attack
200911800,Armed Attack
200911624,Armed Attack
200912055,Armed Attack
200912056,Armed Attack
200911813,Bombing
200911856,Armed Attack
200911866,Armed Attack
200911562,Assault
200912165,Assault
200911710,Unknown
200911658,Kidnapping
200912166,Kidnapping
200911880,Bombing
200911873,Bombing
200911921,Bombing
200911899,Bombing
200911926,Bombing
200911947,Bombing
200911918,Bombing
200911872,Bombing
200911916,Bombing
200911875,Bombing
200911928,Bombing
200911919,Armed Attack
200911659,Armed Attack
200911660,Kidnapping
200912149,Armed Attack
200912375,Arson/Firebombing
200911810,Arson/Firebombing
200911861,Arson/Firebombing
200911374,Arson/Firebombing
200911374, Hijacking
200911900,Armed Attack
200911734,Bombing
200911783,Assault
200911782,Assault
200911908,Kidnapping
200911908, Unknown
200912167,Kidnapping
200912177,Unknown
200912132,Barricade/Hostage
200912132, Kidnapping
200912151,Bombing
200911749,Bombing
200911752,Bombing
200911811,Bombing
200912119,Bombing
200911909,Bombing
200911901,Bombing
200911902,Bombing
200911913,Bombing
200911669,Bombing
200911633,Bombing
200911819,Bombing
200911819, Suicide
200911668,Armed Attack
200911910,Armed Attack
200911831,Armed Attack
200911831, Kidnapping
200912113,Armed Attack
200912150,Armed Attack
200911713,Armed Attack
200911713, Arson/Firebombing
200911740,Armed Attack
200911740, Arson/Firebombing
200911740, Barricade/Hostage
200911751,Arson/Firebombing
200911751, Barricade/Hostage
200911557,Arson/Firebombing
200911773,Assault
200912181,Bombing
200911895,Armed Attack
200911777,Assault
200911560,Assault
200911561,Assault
200911778,Assault
200911780,Assault
200911855,Kidnapping
200911530,Bombing
200911530, Suicide
200911897,Bombing
200911929,Bombing
200911498,Barricade/Hostage
200911957,Armed Attack
200911958,Armed Attack
200912121,Armed Attack
200911827,Armed Attack
200911743,Kidnapping
200912140,Armed Attack
200912118,Armed Attack
200911760,Armed Attack
200911760, Assault
200911898,Arson/Firebombing
200911898, Kidnapping
200911868,Armed Attack
200911867,Armed Attack
200911775,Assault
200911765,Assault
200911894,Kidnapping
200911716,Bombing
200911807,Bombing
200912013,Bombing
200911988,Bombing
200912104,Bombing
200911776,Bombing
200911714,Bombing
200911714, Near Miss/Non Attack Incident
200911892,Bombing
200911930,Bombing
200911469,Armed Attack
200911806,Armed Attack
200911980,Armed Attack
200911968,Armed Attack
200911978,Kidnapping
200911971,Armed Attack
200912075,Armed Attack
200911893,Armed Attack
200911893, Near Miss/Non Attack Incident
200911852,Armed Attack
200911903,Hijacking
200911744,Kidnapping
200911746,Kidnapping
200911748,Kidnapping
200911804,Armed Attack
200912139,Armed Attack
200912152,Arson/Firebombing
200911962,Armed Attack
200911960,Bombing
200911829,Armed Attack
200911975,Armed Attack
200911805,Assault
200911805, Barricade/Hostage
200912378,Unknown
200911470,Unknown
200911869,Barricade/Hostage
200911754,Assault
200911528,Bombing
200911528, Suicide
200911721,Bombing
200912007,Bombing
200912001,Bombing
200911858,Bombing
200912141,Bombing
200912000,Bombing
200912000, Suicide
200911719,Armed Attack
200911719, Near Miss/Non Attack Incident
200912173,Armed Attack
200912023,Armed Attack
200912009,Armed Attack
200912012,Armed Attack
200912025,Armed Attack
200912186,Unknown
200911835,Armed Attack
200911756,Kidnapping
200912142,Armed Attack
200912144,Armed Attack
200912010,Armed Attack
200911822,Armed Attack
200911737,Armed Attack
200911723,Assault
200912105,Kidnapping
200912174,Unknown
200912130,Barricade/Hostage
200912130, Theft
200911815,Bombing
200911828,Bombing
200912026,Bombing
200911864,Bombing
200911863,Bombing
200911542,Armed Attack
200911998,Armed Attack
200911839,Armed Attack
200911766,Kidnapping
200911767,Kidnapping
200911757,Kidnapping
200911768,Kidnapping
200912187,Armed Attack
200912147,Armed Attack
200912145,Armed Attack
200912194,Armed Attack
200912045,Armed Attack
200911825,Arson/Firebombing
200912159,Armed Attack
200911738,Armed Attack
200912109,Armed Attack
200912148,Armed Attack
200911860,Armed Attack
200912044,Armed Attack
200911823,Assault
200911824,Assault
200911722,Kidnapping
200912179,Unknown
201000173,Bombing
201000081,Bombing
201000167,Bombing
201000004,Bombing
201000003,Bombing
201000076,Bombing
201000094,Bombing
201000077,Bombing
201000052,Bombing
201000171,Armed Attack
201000012,Armed Attack
201000282,Kidnapping
201000284,Kidnapping
201000678,Armed Attack
201000678, Theft
201005986,Armed Attack
201005986, Threat
201000078,Armed Attack
201000078, Arson/Firebombing
201000559,Armed Attack
201000559, Arson/Firebombing
201000559, Theft
201000454,Arson/Firebombing
201000454, Theft
201000329,Arson/Firebombing
201000526,Arson/Firebombing
201000437,Armed Attack
201000049,Bombing
201000049, Suicide
201000325,Bombing
201000333,Armed Attack
201000334,Armed Attack
201000717,Assault
201000283,Assault
201000283, Kidnapping
201006023,Unknown
201000281,Assault
201000281, Kidnapping
201000452,Kidnapping
201000452, Unknown
201000142,Bombing
201000215,Bombing
201000009,Bombing
201000054,Bombing
201000177,Armed Attack
201000177, Near Miss/Non Attack Incident
201000175,Armed Attack
201000199,Armed Attack
201000010,Armed Attack
201000326,Armed Attack
201000285,Kidnapping
201000285, Theft
201000449,Armed Attack
201006899,Armed Attack
201006899, Assault
201006899, Barricade/Hostage
201006899, Theft
201000011,Armed Attack
201000007,Bombing
201000217,Bombing
201000080,Armed Attack
201000174,Assault
201000792,Assault
201000440,Bombing
201000189,Bombing
201000059,Bombing
201000056,Bombing
201006031,Kidnapping
201000183,Armed Attack
201000133,Armed Attack
201000013,Armed Attack
201000060,Armed Attack
201000289,Kidnapping
201000293,Kidnapping
201000729,Barricade/Hostage
201000729, Theft
201000265,Armed Attack
201006900,Arson/Firebombing
201006900, Assault
201006900, Kidnapping
201006900, Theft
201000457,Armed Attack
201000014,Armed Attack
201000213,Assault
201000565,Assault
201000565, Theft
201000291,Assault
201000291, Kidnapping
201000638,Unknown
201000675,Hijacking
201000675, Kidnapping
201000176,Unknown
201000438,Bombing
201000180,Bombing
201000018,Bombing
201000182,Armed Attack
201000187,Armed Attack
201000041,Armed Attack
201000198,Armed Attack
201000200,Armed Attack
201000516,Armed Attack
201000138,Armed Attack
201000839,Armed Attack
201000839, Arson/Firebombing
201000212,Arson/Firebombing
201000075,Arson/Firebombing
201005796,Arson/Firebombing
201000062,Arson/Firebombing
201000567,Arson/Firebombing
201000567, Assault
201000567, Kidnapping
201000567, Theft
201000022,Armed Attack
201000019,Armed Attack
201000327,Armed Attack
201000713,Armed Attack
201000458,Bombing
201000017,Bombing
201000211,Armed Attack
201000719,Armed Attack
201006049,Kidnapping
201006029,Kidnapping
201006053,Unknown
201000571,Kidnapping
201000571, Unknown
201000793,Kidnapping
201000150,Bombing
201000083,Bombing
201000063,Bombing
201000184,Armed Attack
201000164,Armed Attack
201000528,Armed Attack
201000114,Armed Attack
201000114, Kidnapping
201000114, Other
201000566,Arson/Firebombing
201000566, Theft
201000754,Arson/Firebombing
201000773,Arson/Firebombing
201000067,Armed Attack
201000066,Armed Attack
201006051,Unknown
201000123,Bombing
201000119,Bombing
201006129,Bombing
201000118,Bombing
201000120,Bombing
201000030,Bombing
201000033,Bombing
201000029,Bombing
201000226,Bombing
201005714,Bombing
201000168,Armed Attack
201000179,Armed Attack
201000043,Armed Attack
201000036,Armed Attack
201000520,Armed Attack
201000844,Armed Attack
201000843,Armed Attack
201000842,Armed Attack
201000024,Armed Attack
201000203,Armed Attack
201005798,Arson/Firebombing
