ICN,WeaponsList
200911677,Explosive
200911691,Explosive
200911467,Explosive
200911467, IED
200911358,Explosive
200911358, IED
200911336,Explosive
200911336, IED
200911391,Explosive
200911391, IED
200911532,Explosive
200911532, IED
200912053,Explosive
200912053, IED
200911434,Firearm
200911392,Firearm
200911611,Firearm
200911923,Firearm
200912057,Firearm
200912066,Firearm
200912066, Firebomb/Incendiary
200912097,Firearm
200912097, Mortar/Artillery
200911637,Firebomb/Incendiary
200911983,Grenade
200912125,IED
200912125, Landmine
200912162,Mortar/Artillery
200911566,Primitive
200911565,Primitive
200911733,Unknown
200911680,Unknown
200912156,Unknown
200911920,Explosive
200911679,Explosive
200911679, Firearm
200911681,Explosive
200911681, IED
200911724,Explosive
200911724, IED
200911682,Explosive
200911682, IED
200911684,Explosive
200911684, IED
200911416,Explosive
200911416, IED
200911439,Explosive
200911439, IED
200911360,Explosive
200911360, IED
200911393,Explosive
200911393, IED
200911395,Explosive
200911395, IED
200911418,Explosive
200911418, IED
200911506,Explosive
200911506, IED
200911394,Explosive
200911394, IED
200911413,Explosive
200911413, IED
200911412,Explosive
200911412, IED
200912091,Explosive
200912091, IED
200911595,Explosive
200911595, IED
200911643,Explosive
200911643, IED
200911596,Explosive
200911596, IED
200912124,Explosive
200912124, IED
200911692,Firearm
200912059,Firearm
200911404,Firearm
200911420,Firearm
200911419,Firearm
200912120,Firearm
200911619,Firearm
200912127,Firearm
200911276,Firearm
200911276, Grenade
200911276, Primitive
200911688,Firearm
200911688, RPG
200912099,IED
200912099, Landmine
200912101,Mortar/Artillery
200912384,Unknown
200911273,Unknown
200911274,Unknown
200912160,Unknown
200911837,Explosive
200911840,Explosive
200911715,Explosive
200911715, Firearm
200911690,Explosive
200911690, IED
200911662,Explosive
200911662, IED
200911663,Explosive
200911663, IED
200911509,Explosive
200911509, IED
200911511,Explosive
200911511, IED
200911503,Explosive
200911503, IED
200911505,Explosive
200911505, IED
200911665,Explosive
200911665, IED
200911602,Explosive
200911602, IED
200911925,Explosive
200911925, IED
200912131,Explosive
200912131, IED
200912351,Firearm
200912357,Firearm
200912367,Firearm
200911774,Firearm
200911650,Firearm
200911621,Firearm
200911623,Firearm
200912136,Firearm
200912128,Firearm
200912106,Firearm
200912106, Mortar/Artillery
200912355,Firearm
200912355, RPG
200911606,Grenade
200911604,Grenade
200911753,Mortar/Artillery
200912383,Mortar/Artillery
200912369,Primitive
200912363,Unknown
200912371,Unknown
200912368,Unknown
200912380,Unknown
200912364,Unknown
200912373,Unknown
200912377,Unknown
200912366,Unknown
200912376,Unknown
200912353,Unknown
200912362,Unknown
200912379,Unknown
200912354,Unknown
200912361,Unknown
200912365,Unknown
200912274,Unknown
200912069,Unknown
200912164,Unknown
200911747,Explosive
200912347,Explosive
200912347, IED
200911702,Explosive
200911702, IED
200911694,Explosive
200911694, IED
200911730,Explosive
200911730, IED
200912381,Explosive
200912381, IED
200911340,Explosive
200911340, IED
200912079,Explosive
200912079, IED
200911697,Explosive
200911697, IED
200911586,Explosive
200911586, IED
200911638,Explosive
200911638, IED
200911612,Explosive
200911612, IED
200911640,Explosive
200911640, IED
200911639,Explosive
200911639, IED
200911583,Explosive
200911583, IED
200911615,Explosive
200911615, IED
200911636,Explosive
200911636, IED
200911573,Explosive
200911573, IED
200911517,Explosive
200911517, IED
200911666,Explosive
200911666, IED
200911614,Explosive
200911614, IED
200911607,Explosive
200911607, IED
200911794,Firearm
200911761,Firearm
200911762,Firearm
200911587,Firearm
200911575,Firearm
200911704,Firearm
200912137,Firearm
200911732,Firebomb/Incendiary
200911703,IED
200911703, Vehicle bomb
200911514,IED
200911514, Vehicle bomb
200911632,IED
200911632, Vehicle bomb
200912360,Missile/Rocket
200911585,Mortar/Artillery
200912358,Unknown
200911934,Explosive
200911648,Explosive
200911648, IED
200911707,Explosive
200911707, IED
200911706,Explosive
200911706, IED
200911708,Explosive
200911708, IED
200912078,Explosive
200912078, IED
200911832,Explosive
200911832, IED
200911820,Explosive
200911820, IED
200911814,Explosive
200911814, IED
200911718,Explosive
200911718, IED
200911789,Explosive
200911789, IED
200911790,Explosive
200911790, IED
200911720,Explosive
200911720, IED
200911617,Explosive
200911617, IED
200911629,Explosive
200911629, IED
200911618,Explosive
200911618, IED
200911631,Explosive
200911631, IED
200911770,Explosive
200911770, IED
200911770, Vehicle bomb
200912168,Firearm
200911816,Firearm
200911764,Firearm
200911781,Firearm
200911833,Firearm
200911834,Firearm
200911628,Firearm
200911620,Firearm
200911555,Firearm
200911548,Firearm
200911550,Firearm
200911550, Firebomb/Incendiary
200911550, Primitive
200912110,Firearm
200912110, Mortar/Artillery
200912157,Firebomb/Incendiary
200911862,IED
200911862, Vehicle bomb
200912138,IED
200912138, Vehicle bomb
200911622,Landmine
200911727,Missile/Rocket
200911772,Primitive
200911634,Primitive
200911785,Primitive
200912172,Primitive
200912172, Unknown
200912098,Unknown
200911799,Explosive
200911799, IED
200911798,Explosive
200911798, IED
200911795,Explosive
200911795, IED
200911847,Explosive
200911847, IED
200911817,Explosive
200911817, IED
200911906,Explosive
200911906, IED
200911812,Explosive
200911812, IED
200912100,Explosive
200912100, IED
200912100, Other
200911709,Firearm
200911854,Firearm
200911796,Firearm
200911907,Firearm
200911784,Firebomb/Incendiary
200911786,Grenade
200911800,Grenade
200911624,Grenade
200912055,Grenade
200912056,Grenade
200911813,IED
200911813, Vehicle bomb
200911856,Missile/Rocket
200911866,Mortar/Artillery
200911562,Primitive
200912165,Primitive
200911710,Unknown
200911658,Unknown
200912166,Unknown
200911880,Explosive
200911880, IED
200911873,Explosive
200911873, IED
200911921,Explosive
200911921, IED
200911899,Explosive
200911899, IED
200911926,Explosive
200911926, IED
200911947,Explosive
200911947, IED
200911918,Explosive
200911918, IED
200911872,Explosive
200911872, IED
200911916,Explosive
200911916, IED
200911875,Explosive
200911875, IED
200911928,Explosive
200911928, IED
200911919,Firearm
200911659,Firearm
200911660,Firearm
200912149,Firearm
200912375,Firebomb/Incendiary
200911810,Firebomb/Incendiary
200911861,Firebomb/Incendiary
200911374,Firebomb/Incendiary
200911374, Unknown
200911900,Grenade
200911734,IED
200911734, Vehicle bomb
200911783,Primitive
200911782,Primitive
200911908,Unknown
